ndbp,ng,max_loss_ng2_x,field_result_y
ndbp0,ng10,1.2802933941822499,0.5616511789959099
ndbp0,ng10,1.3024884591244692,0.5622561944421115
ndbp0,ng10,2.218859030237916,0.6454437457763371
ndbp0,ng10,2.333913319608981,0.7663737015073944
ndbp0,ng10,2.351858667568783,0.7690686660909736
ndbp0,ng10,2.355933979136446,0.8599197575107698
ndbp0,ng10,2.7006803334646547,0.996703693591073
ndbp0,ng10,3.115462378948313,1.0721529820681328
ndbp0,ng10,3.17603100858777,1.2324804299260435
ndbp0,ng10,3.176031009479451,1.232480430452352
ndbp0,ng10,3.5321255022204374,1.2474111858502999
ndbp0,ng10,3.693144912187507,1.2766111014789712
ndbp0,ng10,3.9576856912213985,1.2806050673138551
ndbp0,ng10,4.265446167063529,1.3078738557101497
ndbp0,ng10,4.293682146155885,1.3079769067928342
ndbp0,ng10,4.494575223701036,1.4065055814854759
ndbp0,ng10,4.7108080919521464,1.4213629773295624
ndbp0,ng10,5.167103012999681,1.444477650586068
ndbp0,ng10,6.440711619994134,1.5080290921240491
ndbp0,ng20,1.8857454288504676,0.2504000115150901
ndbp0,ng20,2.233699812391498,0.2606027418508587
ndbp0,ng20,2.622763702931729,0.3909370689767087
ndbp0,ng20,2.7721300806651445,0.45061511871699034
ndbp0,ng20,4.877406203586463,0.49310927377917585
ndbp0,ng20,5.2741727578812645,1.0980067655548853
ndbp0,ng20,5.673077827591953,1.1450992405383034
ndbp0,ng20,7.07181851010975,1.5227211896353299
ndbp0,ng20,7.756914714427846,1.5712816634580338
ndbp0,ng20,8.394186914711735,1.7548669205761576
ndbp0,ng20,8.614459028804726,1.764677612583496
ndbp0,ng20,9.192247744398303,2.040104947212444
ndbp0,ng20,11.715058139193903,2.166389552223437
ndbp0,ng20,17.374139241553408,2.3067786371658308
ndbp0,ng20,20.603472638094722,2.3261597810330454
ndbp0,ng20,21.13827152475341,2.3437396491054754
ndbp0,ng30,3.4238209940683166,0.39948142927432767
ndbp0,ng30,4.503363426679145,0.42088483504067997
ndbp0,ng30,4.771065769347572,0.46264274287573826
ndbp0,ng30,5.344286002862775,0.5646658473906093
ndbp0,ng30,10.013654586539348,0.8762691285878562
ndbp0,ng30,20.60603036330606,1.7389133819673541
ndbp0,ng30,21.399571592118914,1.9962666398683855
ndbp0,ng30,21.688646207934184,2.37347452807206
ndbp0,ng30,22.038331144838846,2.3949743580951552
ndbp0,ng30,22.831172022038064,2.5193383204009945
ndbp0,ng30,30.49306759682551,2.597778808958353
ndbp0,ng30,41.302386287686346,3.063697684814493
ndbp1,ng10,2.68049744829901,0.2971753363938379
ndbp1,ng10,2.7036812032420237,0.842081341241569
ndbp1,ng10,3.17478268089718,0.9514854523224516
ndbp1,ng10,3.510732889761069,0.9535007571486136
ndbp1,ng10,3.7832150884387024,1.1591104209024128
ndbp1,ng10,3.9836106645049707,1.1754850066084896
ndbp1,ng10,4.63240899120961,1.1909112650023805
ndbp1,ng20,9.122929357758789,1.2337011737231354
ndbp1,ng20,13.708846616641628,1.4433446131076695
ndbp1,ng20,15.976785578931324,1.5583578996812961
ndbp1,ng20,16.187251962043536,1.579050868579913
ndbp1,ng20,16.24006075839294,1.6217501956438145
ndbp1,ng30,24.956975465143472,1.280005190821029
ndbp1,ng30,32.62434835593798,1.7593038516642094
ndbp1,ng30,39.78497559534229,1.9130301081185013
ndbp1,ng30,40.272031049073576,2.0354214133395505
